Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,7,0,33000,36038.87601199468,8939.398416987387,80168.05574999307,15.0,0.07067265516277478,0.0,33000,49000,50000,50000,80000,80000,80000,80000,80000,80000,80000
GET,GET /analytics/bans/most-banned,8,0,32000,42545.4427709974,7448.680583998794,84662.67829199205,607.0,0.08076874875745689,0.0,41000,55000,77000,77000,85000,85000,85000,85000,85000,85000,85000
GET,GET /analytics/champion/{id}/ban-rate,5,0,28000,39376.10619979678,14441.725124997902,81829.59079100692,97.0,0.05048046797341056,0.0,28000,51000,51000,82000,82000,82000,82000,82000,82000,82000,82000
GET,GET /analytics/player/{puuid}/bans,15,0,35000,40264.845080666906,9945.0955420034,84664.20625000319,37628.933333333334,0.15144140392023167,0.0,35000,52000,55000,56000,83000,85000,85000,85000,85000,85000,85000
GET,GET /analytics/player/{puuid}/role-performance,23,1,23000,32720.28109613229,614.7994579951046,81174.81458300608,1369.7826086956522,0.23221015267768857,0.010096093594682111,23000,49000,52000,53000,54000,77000,81000,81000,81000,81000,81000
GET,GET /analytics/player/{puuid}/trends,5,0,45000,43376.96084160125,18564.629417000106,64875.23708300432,5146.4,0.05048046797341056,0.0,45000,60000,60000,65000,65000,65000,65000,65000,65000,65000,65000
GET,GET /champions,13,0,11000,21198.928192304895,4837.7897500031395,45883.59237500117,44207.0,0.13124921673086745,0.0,11000,28000,32000,40000,41000,46000,46000,46000,46000,46000,46000
GET,GET /health,6,0,22000,37373.585437332316,14444.45412499772,78011.14316600433,15.0,0.06057656156809267,0.0,42000,42000,53000,53000,78000,78000,78000,78000,78000,78000,78000
GET,GET /metrics/player/{puuid},9,0,34000,42505.37169444336,18563.393666001502,82179.92383299861,153.77777777777777,0.09086484235213901,0.0,34000,58000,60000,60000,82000,82000,82000,82000,82000,82000,82000
GET,GET /players/,7,0,36000,44953.797571568946,21302.76037499425,66196.29087499925,4361.0,0.07067265516277478,0.0,36000,63000,64000,64000,66000,66000,66000,66000,66000,66000,66000
,Aggregated,98,1,31000,36326.455696478646,614.7994579951046,84664.20625000319,12589.887755102041,0.989417172278847,0.010096093594682111,32000,46000,53000,55000,77000,82000,85000,85000,85000,85000,85000
